Index,Epoch Info,Loss
213,0-10650/20565,3.4581
214,0-10700/20565,4.6072
215,0-10750/20565,4.8274
216,0-10800/20565,4.6523
217,0-10850/20565,3.0273
218,0-10900/20565,3.6289
219,0-10950/20565,4.2081
220,0-11000/20565,5.4235
221,0-11050/20565,4.1907
222,0-11100/20565,3.9413
223,0-11150/20565,6.2188
224,0-11200/20565,4.9573
225,0-11250/20565,4.8224
226,0-11300/20565,3.7800
227,0-11350/20565,6.4884
228,0-11400/20565,4.5333
229,0-11450/20565,4.3988
230,0-11500/20565,5.3505
231,0-11550/20565,5.4699
232,0-11600/20565,3.9879
233,0-11650/20565,5.0692
234,0-11700/20565,4.4665
235,0-11750/20565,3.5256
236,0-11800/20565,4.3980
237,0-11850/20565,5.1336
238,0-11900/20565,4.9123
239,0-11950/20565,4.9183
240,0-12000/20565,5.8122
241,0-12050/20565,3.9585
242,0-12100/20565,3.9403
243,0-12150/20565,4.8827
244,0-12200/20565,4.3898
245,0-12250/20565,5.9847
246,0-12300/20565,4.6041
247,0-12350/20565,5.0082
248,0-12400/20565,4.6800
249,0-12450/20565,4.6891
250,0-12500/20565,5.3067
251,0-12550/20565,4.2046
252,0-12600/20565,4.5133
253,0-12650/20565,5.1855
254,0-12700/20565,4.3658
255,0-12750/20565,3.6365
256,0-12800/20565,4.7719
257,0-12850/20565,2.4399
258,0-12900/20565,4.6177
259,0-12950/20565,4.3520
260,0-13000/20565,5.5411
261,0-13050/20565,4.1414
262,0-13100/20565,6.6063
263,0-13150/20565,5.2591
264,0-13200/20565,4.8313
265,0-13250/20565,4.6765
266,0-13300/20565,4.9903
267,0-13350/20565,4.8766
268,0-13400/20565,5.1037
269,0-13450/20565,6.9307
270,0-13500/20565,3.0836
271,0-13550/20565,4.6671
272,0-13600/20565,3.4851
273,0-13650/20565,3.6676
274,0-13700/20565,5.2048
275,0-13750/20565,4.1754
276,0-13800/20565,5.5382
277,0-13850/20565,3.8091
278,0-13900/20565,3.7311
279,0-13950/20565,3.2432
280,0-14000/20565,2.9577
281,0-14050/20565,3.4562
282,0-14100/20565,4.1552
283,0-14150/20565,5.5059
284,0-14200/20565,5.9647
285,0-14250/20565,3.5719
286,0-14300/20565,4.5910
287,0-14350/20565,3.3592
288,0-14400/20565,2.9949
289,0-14450/20565,4.0480
290,0-14500/20565,5.2838
291,0-14550/20565,6.1945
292,0-14600/20565,3.6756
293,0-14650/20565,4.1988
294,0-14700/20565,5.3780
295,0-14750/20565,4.8183
296,0-14800/20565,3.3377
297,0-14850/20565,3.5935
298,0-14900/20565,4.0917
299,0-14950/20565,4.4366
300,0-15000/20565,5.3892
301,0-15050/20565,6.2425
302,0-15100/20565,5.1158
303,0-15150/20565,4.9728
304,0-15200/20565,4.2268
305,0-15250/20565,4.6188
306,0-15300/20565,4.3288
307,0-15350/20565,3.9724
308,0-15400/20565,4.2453
309,0-15450/20565,4.7348
310,0-15500/20565,5.0270
311,0-15550/20565,3.8674
312,0-15600/20565,3.9856
313,0-15650/20565,4.6038
314,0-15700/20565,3.2200
315,0-15750/20565,3.1133
316,0-15800/20565,3.2383
317,0-15850/20565,3.7004
318,0-15900/20565,4.7652
319,0-15950/20565,3.2494
320,0-16000/20565,6.1006
321,0-16050/20565,4.9418
322,0-16100/20565,2.9335
323,0-16150/20565,3.9995
324,0-16200/20565,3.3063
325,0-16250/20565,5.4689
326,0-16300/20565,3.4595
327,0-16350/20565,3.8287
328,0-16400/20565,3.6952
329,0-16450/20565,4.2417
330,0-16500/20565,4.2302
331,0-16550/20565,5.8301
332,0-16600/20565,3.8825
333,0-16650/20565,6.2397
334,0-16700/20565,4.0985
335,0-16750/20565,5.2418
336,0-16800/20565,2.7892
337,0-16850/20565,3.8199
338,0-16900/20565,4.6385
339,0-16950/20565,4.3075
340,0-17000/20565,3.4231
341,0-17050/20565,4.2205
342,0-17100/20565,3.7617
343,0-17150/20565,2.4203
344,0-17200/20565,4.6739
345,0-17250/20565,5.9448
346,0-17300/20565,5.6430
347,0-17350/20565,3.8631
348,0-17400/20565,3.6081
349,0-17450/20565,5.3486
350,0-17500/20565,4.5771
351,0-17550/20565,3.4202
352,0-17600/20565,4.3232
353,0-17650/20565,4.2269
354,0-17700/20565,3.4245
355,0-17750/20565,4.6802
356,0-17800/20565,3.9654
357,0-17850/20565,5.9312
358,0-17900/20565,4.1666
359,0-17950/20565,5.2222
360,0-18000/20565,4.9522
361,0-18050/20565,4.8389
362,0-18100/20565,3.7504
363,0-18150/20565,4.1550
364,0-18200/20565,2.9608
365,0-18250/20565,5.9371
366,0-18300/20565,4.8500
367,0-18350/20565,4.2466
368,0-18400/20565,3.3910
369,0-18450/20565,4.5799
370,0-18500/20565,4.1127
371,0-18550/20565,5.5134
372,0-18600/20565,5.2270
373,0-18650/20565,3.5697
374,0-18700/20565,4.5800
375,0-18750/20565,4.5185
376,0-18800/20565,5.0875
377,0-18850/20565,4.0657
378,0-18900/20565,2.8495
379,0-18950/20565,4.2677
380,0-19000/20565,4.1552
381,0-19050/20565,4.6637
382,0-19100/20565,5.4545
383,0-19150/20565,4.4116
384,0-19200/20565,5.0727
385,0-19250/20565,4.5228
386,0-19300/20565,4.5765
387,0-19350/20565,5.7365
388,0-19400/20565,3.4207
389,0-19450/20565,5.4357
390,0-19500/20565,4.2712
391,0-19550/20565,3.8942
392,0-19600/20565,4.7836
393,0-19650/20565,4.6966
394,0-19700/20565,3.9514
395,0-19750/20565,3.5668
396,0-19800/20565,4.9631
397,0-19850/20565,5.3782
398,0-19900/20565,3.1151
399,0-19950/20565,4.3889
400,0-20000/20565,4.9129
401,0-20050/20565,4.5851
402,0-20100/20565,5.3886
403,0-20150/20565,4.8441
404,0-20200/20565,4.3868
405,0-20250/20565,4.1011
406,0-20300/20565,3.1340
407,0-20350/20565,4.6999
408,0-20400/20565,3.1030
409,0-20450/20565,4.5700
410,0-20500/20565,4.4208
411,0-20550/20565,3.9493
412,0-20564/20565,4.6855
