Index,Epoch Info,Loss
213,0-10650/20565,3.0420
214,0-10700/20565,2.6055
215,0-10750/20565,3.7431
216,0-10800/20565,4.9704
217,0-10850/20565,3.1471
218,0-10900/20565,4.7252
219,0-10950/20565,6.1069
220,0-11000/20565,3.7214
221,0-11050/20565,3.6089
222,0-11100/20565,4.0193
223,0-11150/20565,5.1814
224,0-11200/20565,3.4923
225,0-11250/20565,3.3377
226,0-11300/20565,3.0199
227,0-11350/20565,4.6527
228,0-11400/20565,3.6377
229,0-11450/20565,2.4324
230,0-11500/20565,3.2976
231,0-11550/20565,3.4782
232,0-11600/20565,2.6112
233,0-11650/20565,3.0158
234,0-11700/20565,4.6542
235,0-11750/20565,2.4287
236,0-11800/20565,3.9693
237,0-11850/20565,3.7958
238,0-11900/20565,3.8852
239,0-11950/20565,2.4941
240,0-12000/20565,5.2101
241,0-12050/20565,3.5073
242,0-12100/20565,4.5043
243,0-12150/20565,2.7583
244,0-12200/20565,4.4997
245,0-12250/20565,3.0024
246,0-12300/20565,2.8249
247,0-12350/20565,3.4525
248,0-12400/20565,3.2057
249,0-12450/20565,3.9226
250,0-12500/20565,2.7960
251,0-12550/20565,4.5578
252,0-12600/20565,4.6146
253,0-12650/20565,3.4939
254,0-12700/20565,1.7813
255,0-12750/20565,5.3659
256,0-12800/20565,3.3003
257,0-12850/20565,3.3636
258,0-12900/20565,3.1713
259,0-12950/20565,3.8147
260,0-13000/20565,3.2699
261,0-13050/20565,2.3094
262,0-13100/20565,3.6306
263,0-13150/20565,2.7884
264,0-13200/20565,3.2428
265,0-13250/20565,4.0989
266,0-13300/20565,3.3395
267,0-13350/20565,4.0284
268,0-13400/20565,3.6122
269,0-13450/20565,3.1060
270,0-13500/20565,3.1004
271,0-13550/20565,4.6909
272,0-13600/20565,5.4020
273,0-13650/20565,2.6946
274,0-13700/20565,3.4929
275,0-13750/20565,3.5270
276,0-13800/20565,4.7299
277,0-13850/20565,3.4671
278,0-13900/20565,4.1250
279,0-13950/20565,3.6081
280,0-14000/20565,3.1130
281,0-14050/20565,4.3518
282,0-14100/20565,2.9311
283,0-14150/20565,3.9253
284,0-14200/20565,4.6862
285,0-14250/20565,3.6751
286,0-14300/20565,4.4862
287,0-14350/20565,3.9700
288,0-14400/20565,3.0629
289,0-14450/20565,4.1311
290,0-14500/20565,4.2232
291,0-14550/20565,4.0312
292,0-14600/20565,2.8895
293,0-14650/20565,3.0780
294,0-14700/20565,3.3303
295,0-14750/20565,3.0131
296,0-14800/20565,2.9622
297,0-14850/20565,2.6850
298,0-14900/20565,3.1800
